latitude,longitude,blk_no,road_name,postal_code,address,nearest_mrt_station,nearest_mrt_distance_km,nearest_mall,nearest_mall_distance_km
1.3823963211813,103.881385733203,984C,BUANGKOK LINK,533984,984C BUANGKOK LINK,Tongkang,0.9333992746428235,Buangkok Square,0.21709871097988281
1.37457017021599,103.879877813491,936,HOUGANG STREET 92,530936,936 HOUGANG ST 92,Hougang,1.4501190002567306,Hougang Green Shopping Mall,1.031257307481823
1.36627946045205,103.888808928523,707,HOUGANG AVENUE 2,530707,707 HOUGANG AVE 2,Hougang,0.7045074131215633,Hougang Rivercourt,0.8001130379941298
1.35961214567102,103.891908245303,249,HOUGANG AVENUE 3,530249,249 HOUGANG AVE 3,Kovan,0.7527375805148319,Hougang 1,0.40304322708508716
1.37903902752207,103.886062097591,579,HOUGANG AVENUE 4,530579,579 HOUGANG AVE 4,Buangkok,0.9213562486719351,Hougang Green Shopping Mall,0.2008318196679594
1.37525196763041,103.888186047391,698C,HOUGANG STREET 52,533698,698C HOUGANG ST 52,Hougang,0.6452814138816888,Hougang Green Shopping Mall,0.45367126053022105
1.32110255874093,103.741674029792,43,TEBAN GARDENS ROAD,600043,43 TEBAN GDNS RD,Jurong East,1.3477962736456366,Jem,1.3450732993674244
1.3451446878869,103.734750459542,304,JURONG EAST STREET 32,600304,304 JURONG EAST ST 32,Chinese Garden,0.3857778263169163,JCube,1.4467735083281754
1.32158737897173,103.740986913838,41,TEBAN GARDENS ROAD,600041,41 TEBAN GDNS RD,Jurong East,1.30036238842456,Jem,1.3060161078266759
1.34033241177285,103.737928007136,218,JURONG EAST STREET 21,600218,218 JURONG EAST ST 21,Chinese Garden,0.6386618232321467,JCube,0.8188559845800126
1.34958656573247,103.72631531647,491,JURONG WEST AVENUE 1,640491,491 JURONG WEST AVE 1,Lakeside,0.8523995714764915,Boon Lay Shopping Centre,1.5797147141094994
1.34361509877239,103.690684967957,947,JURONG WEST STREET 91,640947,947 JURONG WEST ST 91,Pioneer,1.000617845889142,Pioneer Mall,0.7524548667593021
1.34999389867275,103.71547303846,538,JURONG WEST AVENUE 1,640538,538 JURONG WEST AVE 1,Lakeside,0.8696029013965274,Boon Lay Shopping Centre,0.5227545914657398
1.3278904095167,103.72178882686,156,YUNG LOH ROAD,610156,156 YUNG LOH RD,Lakeside,1.823995600765842,Taman Jurong Shopping Centre,0.7872415549798891
1.35383921849512,103.721479697852,403,JURONG WEST STREET 42,640403,403 JURONG WEST ST 42,Lakeside,1.0674170130236968,Boon Lay Shopping Centre,1.3006091228969774
1.33332045172975,103.721308656123,177,YUNG SHENG ROAD,610177,177 YUNG SHENG RD,Lakeside,1.218195600545492,Taman Jurong Shopping Centre,0.19388334559601791
1.34509373607501,103.708033296536,260,BOON LAY DRIVE,640260,260 BOON LAY DR,Boon Lay,0.7608409597238802,Boon Lay Shopping Centre,0.5136310967928991
1.33682896786791,103.721117649246,357,YUNG AN ROAD,610357,357 YUNG AN RD,Lakeside,0.8275059089469853,Taman Jurong Shopping Centre,0.2323478095332762
1.34610310609749,103.706312723846,266,BOON LAY DRIVE,640266,266 BOON LAY DR,Boon Lay,0.8339062328958221,Boon Lay Shopping Centre,0.6854433609418297
1.34175856139895,103.701490370658,667A,JURONG WEST STREET 65,641667,667A JURONG WEST ST 65,Boon Lay,0.594243508693734,Pioneer Mall,0.4797897303730759
1.33796673439806,103.698122457656,649B,JURONG WEST STREET 61,642649,649B JURONG WEST ST 61,Pioneer,0.08589337109938475,Pioneer Mall,0.42745750750560146
1.3456794296167,103.706599274406,265,BOON LAY DRIVE,640265,265 BOON LAY DR,Boon Lay,0.7897749432339507,Boon Lay Shopping Centre,0.6574770680904415
1.33801867728359,103.696904315506,650A,JURONG WEST STREET 61,641650,650A JURONG WEST ST 61,Pioneer,0.07080072277334616,Pioneer Mall,0.40960391870062435
